Max flow: 253278
Edges
From		To		Capacity/Flow
1		1400		6307.00/6307.00
1		8392		4060.00/4060.00
1		7232		9736.00/6812.00
1		6166		7774.00/7774.00
1		528		8545.00/8545.00
1		8876		7929.00/7929.00
1		4525		4133.00/4133.00
1		9204		6280.00/6280.00
1		7136		8643.00/8643.00
1		7676		812.00/812.00
1		9096		3972.00/3972.00
1		7813		308.00/308.00
1		9508		9082.00/9082.00
1		8794		2747.00/2747.00
1		3549		4153.00/4153.00
1		2936		8356.00/8356.00
1		4194		5357.00/5357.00
1		6608		2074.00/2074.00
1		585		6623.00/6623.00
1		4040		1983.00/1983.00
1		4288		1426.00/1426.00
1		2653		377.00/377.00
1		1620		6796.00/6796.00
1		3495		1277.00/1277.00
1		5399		937.00/937.00
1		1611		1451.00/1451.00
1		4717		9717.00/9717.00
1		9171		1064.00/1064.00
1		9663		9379.00/9379.00
1		8444		1204.00/1204.00
1		4289		1111.00/1111.00
1		2282		4222.00/4222.00
1		1933		655.00/655.00
1		9407		4666.00/4666.00
1		4952		9504.00/9504.00
1		5589		9408.00/9408.00
1		4506		5790.00/5790.00
1		8391		1017.00/1017.00
1		3440		3480.00/3480.00
1		2956		3347.00/3347.00
1		6651		474.00/474.00
1		4905		7282.00/7282.00
1		5329		1689.00/1689.00
1		7336		8696.00/8696.00
1		8829		6347.00/6347.00
1		7012		6977.00/6977.00
1		8983		3454.00/3454.00
1		7352		1071.00/1071.00
1		5802		9554.00/9554.00
1		3907		8559.00/8559.00
1		1090		2520.00/2520.00
1		5385		293.00/293.00
1		4248		5146.00/5146.00
1		3474		8438.00/8438.00
3		4620		2913.00/0.00
3		9251		4877.00/0.00
3		9935		9140.00/0.00
3		6517		3968.00/0.00
3		8284		8637.00/0.00
3		9621		2282.00/0.00
3		518		6596.00/0.00
3		3850		2905.00/0.00
3		386		5371.00/0.00
3		2452		3997.00/0.00
4		4745		3032.00/0.00
4		5462		5552.00/0.00
4		792		9484.00/0.00
4		8390		2822.00/0.00
4		7645		7698.00/0.00
4		570		8820.00/0.00
4		4644		2496.00/0.00
5		1587		2506.00/0.00
5		4906		5164.00/0.00
5		2399		8683.00/0.00
5		1116		800.00/0.00
5		1109		9239.00/0.00
5		2301		1966.00/0.00
6		3660		5372.00/0.00
6		2220		3806.00/0.00
6		1755		5002.00/0.00
6		591		7999.00/0.00
6		8156		5892.00/0.00
7		2596		1902.00/0.00
7		9444		8713.00/0.00
7		7799		1013.00/0.00
7		1891		5532.00/0.00
7		7990		541.00/0.00
8		4990		789.00/0.00
8		2192		5725.00/0.00
8		6178		6509.00/0.00
8		6403		2275.00/0.00
9		985		1538.00/0.00
9		5565		2829.00/0.00
9		3984		2243.00/0.00
9		4965		8639.00/0.00
9		5178		700.00/0.00
9		6464		7614.00/0.00
10		309		4307.00/0.00
10		4478		4676.00/0.00
10		5734		9444.00/0.00
11		1464		2978.00/0.00
11		8954		269.00/0.00
11		7058		2332.00/0.00
11		1831		3813.00/0.00
11		5553		2931.00/0.00
11		7779		6840.00/0.00
11		5585		8269.00/0.00
11		3784		2111.00/0.00
12		3276		2471.00/0.00
12		4133		6689.00/0.00
12		5750		7450.00/0.00
12		7214		6396.00/0.00
12		4806		3936.00/0.00
12		9796		9228.00/0.00
12		8420		365.00/0.00
13		9788		1248.00/0.00
13		9086		5074.00/0.00
13		705		2515.00/0.00
13		5819		2642.00/0.00
13		9740		4829.00/0.00
13		7799		3454.00/0.00
13		8259		1885.00/0.00
14		7928		9571.00/0.00
14		8415		2483.00/0.00
14		1960		5570.00/0.00
14		1753		4038.00/0.00
15		1052		3862.00/0.00
15		6304		6378.00/0.00
15		8932		2237.00/0.00
15		8947		8803.00/0.00
15		5572		3594.00/0.00
15		8277		9622.00/0.00
15		6485		9813.00/0.00
16		6287		8264.00/0.00
16		5843		5333.00/0.00
16		4298		247.00/0.00
17		2646		9018.00/0.00
17		5249		4943.00/0.00
17		7786		8753.00/0.00
17		4994		2056.00/0.00
17		6650		4602.00/0.00
18		3273		3344.00/0.00
18		1409		7915.00/0.00
18		3008		6798.00/0.00
18		7749		3723.00/0.00
18		101		5199.00/0.00
19		5382		620.00/0.00
19		4687		8408.00/0.00
19		6576		7809.00/0.00
19		7533		236.00/0.00
19		9357		5646.00/0.00
20		3123		8119.00/0.00
20		4367		3180.00/0.00
20		4093		6932.00/0.00
20		3780		6680.00/0.00
20		9085		3985.00/0.00
21		2		5435.00/4227.00
21		9580		792.00/0.00
21		6348		8749.00/0.00
21		7184		3327.00/0.00
21		9652		3440.00/0.00
22		2150		832.00/0.00
22		7348		8713.00/0.00
22		7069		2638.00/0.00
22		9952		2426.00/0.00
22		6252		489.00/0.00
22		4056		2270.00/0.00
22		2177		5391.00/0.00
23		2476		7733.00/0.00
23		7425		7630.00/0.00
23		827		2595.00/0.00
23		9165		5340.00/0.00
23		1853		4427.00/0.00
23		3313		1784.00/0.00
23		6104		4286.00/0.00
24		1632		2994.00/0.00
24		7365		5840.00/0.00
25		4374		1603.00/0.00
25		3228		966.00/0.00
25		5127		830.00/0.00
25		2354		6490.00/0.00
25		2730		8616.00/0.00
25		2342		8911.00/0.00
25		9382		5109.00/0.00
25		1564		4670.00/0.00
25		4389		1229.00/0.00
26		9347		1231.00/0.00
26		3389		5572.00/0.00
26		3329		9501.00/0.00
26		7131		530.00/0.00
26		9869		8308.00/0.00
26		8359		5519.00/0.00
26		8737		2271.00/0.00
26		9791		3398.00/0.00
26		4419		4062.00/0.00
27		6999		9499.00/0.00
27		9181		8682.00/0.00
27		5512		4019.00/0.00
27		4113		8536.00/0.00
27		221		6131.00/0.00
27		2081		4627.00/0.00
27		6482		8978.00/0.00
28		4170		8455.00/0.00
28		3048		404.00/0.00
28		6239		897.00/0.00
28		4908		107.00/0.00
29		2478		9869.00/0.00
29		8480		6312.00/0.00
29		460		6086.00/0.00
29		4560		1514.00/0.00
30		6235		1692.00/0.00
30		8541		7297.00/0.00
30		2750		2574.00/0.00
30		4808		3241.00/0.00
31		5881		5568.00/0.00
31		7416		6518.00/0.00
31		323		8042.00/0.00
31		9590		9017.00/0.00
31		9154		2900.00/0.00
31		7331		1130.00/0.00
32		9475		2704.00/0.00
32		50		1364.00/0.00
32		8194		542.00/0.00
32		4560		7816.00/0.00
32		9461		1129.00/0.00
32		330		7539.00/0.00
32		9193		9183.00/0.00
32		9850		5181.00/0.00
32		550		8978.00/0.00
33		7170		4452.00/0.00
33		3568		1499.00/0.00
33		7294		5033.00/0.00
33		8701		2664.00/0.00
33		5405		9007.00/0.00
33		5691		7497.00/0.00
33		2162		78.00/0.00
33		8673		8509.00/0.00
34		6880		4700.00/0.00
34		6835		7870.00/0.00
34		5707		1608.00/0.00
34		3355		8966.00/0.00
34		9073		3031.00/0.00
34		7113		3450.00/0.00
34		7151		6349.00/0.00
34		5434		7602.00/0.00
34		9401		4136.00/0.00
34		935		5581.00/0.00
35		4469		3052.00/0.00
35		1222		9174.00/0.00
35		8887		9533.00/0.00
35		4023		988.00/0.00
36		9682		6806.00/0.00
36		4605		5397.00/0.00
36		246		7985.00/0.00
36		7021		687.00/0.00
36		2804		6050.00/0.00
36		7661		1838.00/0.00
37		7724		6420.00/0.00
37		6222		7896.00/0.00
37		3131		7261.00/0.00
37		3188		7211.00/0.00
37		2275		4770.00/0.00
37		1526		7704.00/0.00
37		5171		2606.00/0.00
37		629		7126.00/0.00
38		1260		7344.00/0.00
38		753		4819.00/0.00
38		8236		8549.00/0.00
39		9886		6909.00/0.00
39		7764		8960.00/0.00
39		7157		6260.00/0.00
39		3903		6230.00/0.00
39		3798		6592.00/0.00
39		1598		3579.00/0.00
39		3329		8007.00/0.00
40		777		2309.00/0.00
40		5326		225.00/0.00
40		9070		2979.00/0.00
40		4116		8558.00/0.00
40		1152		3565.00/0.00
40		2514		6005.00/0.00
41		9600		7330.00/2042.00
41		4789		7789.00/0.00
41		3256		4763.00/0.00
41		5801		7169.00/0.00
41		2157		634.00/634.00
41		2275		7879.00/0.00
41		8650		2017.00/2017.00
41		7470		8709.00/170.00
41		7006		3581.00/0.00
42		9061		5055.00/0.00
42		1357		1688.00/0.00
42		2496		4268.00/0.00
42		4202		5433.00/0.00
42		5093		8093.00/0.00
42		6306		2293.00/0.00
42		5124		854.00/0.00
43		5233		3758.00/0.00
43		3335		1166.00/0.00
43		6222		1635.00/0.00
43		9621		7732.00/416.00
43		6794		4680.00/0.00
43		1743		4951.00/0.00
43		9372		379.00/0.00
44		6541		2145.00/0.00
44		8539		6149.00/0.00
44		8398		4123.00/0.00
44		4960		1399.00/0.00
44		7400		4679.00/0.00
45		5329		569.00/0.00
45		9668		9389.00/0.00
45		4180		1489.00/0.00
46		2666		8375.00/0.00
46		6332		338.00/0.00
46		4120		7988.00/0.00
46		8663		5307.00/0.00
46		8933		7203.00/0.00
46		5171		2602.00/0.00
47		640		2792.00/0.00
47		5443		1413.00/0.00
47		3510		6091.00/0.00
47		4019		2428.00/0.00
47		8765		1866.00/0.00
47		788		9876.00/0.00
47		8676		8445.00/0.00
47		7715		6059.00/0.00
48		981		9923.00/0.00
48		6845		2639.00/0.00
48		5123		739.00/0.00
48		5842		8323.00/0.00
49		6489		6048.00/0.00
49		8432		1494.00/0.00
49		6440		8757.00/0.00
49		1889		1504.00/0.00
49		7859		4375.00/0.00
49		215		1645.00/0.00
49		5190		1186.00/0.00
49		2663		2744.00/0.00
50		686		1955.00/0.00
50		4655		8211.00/0.00
50		8606		7581.00/0.00
50		6280		9189.00/0.00
50		846		6645.00/0.00
50		3398		7669.00/0.00
51		439		4102.00/0.00
51		4978		2718.00/0.00
51		4937		4515.00/0.00
51		4740		8656.00/0.00
51		4651		367.00/0.00
51		4064		4888.00/0.00
51		5463		4577.00/0.00
51		8944		4585.00/0.00
51		3184		5286.00/0.00
51		9632		7877.00/0.00
51		1135		8154.00/0.00
51		5934		5861.00/0.00
52		8627		3232.00/0.00
52		1201		7817.00/0.00
52		9830		8466.00/0.00
52		2		4336.00/499.00
52		8440		9655.00/0.00
52		120		5070.00/0.00
53		941		4522.00/0.00
53		2421		7573.00/0.00
53		6786		9956.00/0.00
53		47		9442.00/0.00
53		6342		1161.00/0.00
53		5703		6437.00/0.00
53		620		317.00/0.00
53		2904		8864.00/0.00
53		4051		9108.00/0.00
54		9812		1285.00/0.00
54		5952		8087.00/0.00
54		4846		359.00/0.00
54		448		8828.00/0.00
54		960		1177.00/0.00
54		8903		7871.00/0.00
54		6677		8695.00/0.00
54		5474		7066.00/0.00
54		4383		9539.00/0.00
54		8956		3099.00/0.00
55		6872		6939.00/0.00
55		425		2040.00/0.00
55		2426		5695.00/0.00
55		5607		8563.00/0.00
55		9129		3066.00/0.00
55		480		6300.00/0.00
56		2649		6018.00/0.00
56		7130		8465.00/0.00
56		8866		2087.00/0.00
56		1438		442.00/0.00
56		331		7491.00/0.00
56		8393		2452.00/0.00
57		8587		3913.00/0.00
57		9957		2381.00/0.00
57		298		5582.00/0.00
57		2386		4434.00/0.00
57		3332		9640.00/0.00
57		7229		42.00/0.00
58		8779		8552.00/0.00
58		9362		3577.00/0.00
58		3623		9709.00/0.00
58		131		7546.00/0.00
58		6301		1935.00/0.00
58		1288		832.00/0.00
58		4488		1019.00/0.00
59		5182		1891.00/0.00
59		470		489.00/0.00
59		8744		9491.00/0.00
59		5502		9473.00/0.00
59		3047		3107.00/0.00
60		6539		8375.00/0.00
60		8050		9620.00/0.00
60		2728		8860.00/0.00
60		1197		8611.00/0.00
60		7791		6650.00/0.00
60		7455		4084.00/0.00
60		4409		1570.00/0.00
61		9223		9439.00/0.00
61		1200		5056.00/0.00
61		1662		1410.00/0.00
61		678		1015.00/0.00
62		7375		6155.00/0.00
62		4437		7658.00/0.00
62		1312		261.00/0.00
62		1378		8764.00/0.00
62		669		401.00/0.00
62		7168		1721.00/0.00
63		2788		495.00/0.00
63		9548		6668.00/0.00
63		3092		8243.00/0.00
63		1159		5817.00/0.00
63		7206		9523.00/0.00
63		7451		5276.00/0.00
63		5134		8888.00/0.00
64		7084		6886.00/0.00
64		6674		1739.00/0.00
