id		father		cost
3077		214		1.10
7150		1115		1.10
7914		8339		1.10
576		3713		1.10
5385		5165		1.10
1652		5565		1.10
4160		6117		1.10
9891		5349		1.10
4272		5349		1.10
3936		8406		1.10
4069		8799		1.10
3738		8684		1.10
700		8600		1.10
4968		4073		1.10
4264		3018		1.11
6637		3329		1.11
988		8849		1.11
8913		1043		1.11
8200		6625		1.11
5693		5387		1.11
1681		7914		1.11
7752		6531		1.11
6425		9304		1.11
7259		1900		1.11
1003		7816		1.11
8464		7085		1.11
4356		9751		1.11
6863		4160		1.11
4546		4160		1.11
5245		4160		1.11
2412		2352		1.11
1226		8561		1.11
7712		9702		1.12
2186		6093		1.12
629		4119		1.12
2177		1115		1.12
5454		7156		1.12
8703		8122		1.12
2988		2696		1.12
7198		495		1.12
9333		7914		1.12
2967		576		1.12
4858		6531		1.12
5975		4526		1.12
2243		4182		1.12
4345		6770		1.12
3375		6863		1.12
9818		3142		1.12
7475		4785		1.13
2038		3077		1.13
6394		6467		1.13
3982		6467		1.13
2654		1681		1.13
3761		2654		1.13
2133		7663		1.13
1087		3515		1.13
2411		9478		1.13
6224		8029		1.13
7525		4160		1.13
5308		9545		1.13
6707		4098		1.13
997		3578		1.13
3952		9236		1.13
1054		6571		1.13
9197		510		1.13
5167		5695		1.13
6886		836		1.14
8807		5103		1.14
438		6778		1.14
2563		9249		1.14
166		5591		1.14
9572		1115		1.14
5061		4522		1.14
3975		1365		1.14
475		8605		1.14
1903		2046		1.14
4165		1793		1.14
9124		5565		1.14
7815		3274		1.14
313		7085		1.14
972		6347		1.14
9600		7973		1.14
5982		1497		1.14
6441		5187		1.14
1924		8820		1.14
3687		1652		1.14
7941		2396		1.14
9001		7941		1.14
9940		7682		1.14
8461		1262		1.14
9648		6959		1.14
2902		1900		1.14
1281		4388		1.14
6289		5167		1.14
6180		8224		1.15
2168		8219		1.15
3094		2331		1.15
5246		2988		1.15
3813		1318		1.15
6220		7914		1.15
2731		2243		1.15
6092		3290		1.15
173		313		1.15
9566		8000		1.15
7303		5982		1.15
4084		7303		1.15
3179		6144		1.15
7698		2902		1.15
7206		6936		1.15
439		1841		1.15
5944		6093		1.16
8958		5454		1.16
3464		1625		1.16
575		3464		1.16
3164		6874		1.16
5728		1793		1.16
8479		8913		1.16
2067		9572		1.16
8568		5061		1.16
2318		3982		1.16
1025		2633		1.16
2143		1092		1.16
7961		9333		1.16
5120		8849		1.16
8036		4806		1.16
4834		127		1.16
2862		9304		1.16
4418		3290		1.16
2699		3480		1.16
7555		9793		1.16
281		2093		1.16
8362		6224		1.16
1199		6117		1.16
3196		997		1.16
7843		6347		1.16
8773		3602		1.16
6234		2193		1.16
9109		2705		1.16
2702		510		1.16
343		4388		1.16
5113		4511		1.17
9550		629		1.17
6033		6015		1.17
6977		3510		1.17
5868		9572		1.17
4556		7681		1.17
3725		7961		1.17
5230		5120		1.17
4980		9391		1.17
8441		5296		1.17
6466		8441		1.17
5042		4870		1.17
7835		3361		1.17
5476		5660		1.17
4615		5165		1.17
2179		313		1.17
8829		6092		1.17
5279		6484		1.17
2014		3244		1.17
1142		2964		1.17
5657		3687		1.17
4477		4954		1.17
5233		1652		1.17
6325		4393		1.17
6772		997		1.17
6877		3928		1.17
4982		27		1.18
7357		8849		1.18
2069		6778		1.18
8275		9980		1.18
5151		7876		1.18
7081		1092		1.18
782		3975		1.18
4823		475		1.18
4718		6467		1.18
4191		1003		1.18
4444		8829		1.18
7328		9566		1.18
3823		5245		1.18
5072		1199		1.18
8456		3781		1.18
6546		2902		1.18
1083		1841		1.18
8559		4924		1.18
1191		3464		1.19
4386		4993		1.19
5505		8913		1.19
6544		2563		1.19
5903		1092		1.19
3493		8605		1.19
7809		7752		1.19
7731		7198		1.19
8787		1900		1.19
6601		1434		1.19
2278		4858		1.19
9632		4444		1.19
5559		7663		1.19
8454		5541		1.19
5261		5372		1.19
3118		3515		1.19
2602		8930		1.19
1198		7328		1.19
4088		9658		1.19
3158		1793		1.19
4475		6546		1.19
443		4306		1.19
1197		4441		1.19
7649		4441		1.19
6334		8773		1.19
9404		3952		1.19
6867		2193		1.19
3614		8349		1.19
2712		4982		1.20
3100		6093		1.20
2794		8797		1.20
9543		7891		1.20
796		4861		1.20
3583		8165		1.20
187		543		1.20
4879		6977		1.20
7852		2352		1.20
7583		5591		1.20
8263		7018		1.20
8564		2517		1.20
2315		4522		1.20
6783		4216		1.20
2228		475		1.20
9625		3813		1.20
7127		5296		1.20
8099		3455		1.20
8840		5040		1.20
7128		2133		1.20
6123		4444		1.20
8485		7328		1.20
9063		5261		1.20
5145		2964		1.20
1140		5657		1.20
4772		2288		1.20
3987		4073		1.20
1155		6289		1.20
236		3100		1.21
6548		8569		1.21
7464		6548		1.21
1330		8224		1.21
3206		5591		1.21
8061		1115		1.21
5711		2404		1.21
6352		656		1.21
182		4566		1.21
3418		4785		1.21
7720		694		1.21
7435		2331		1.21
3742		6874		1.21
3658		4044		1.21
2996		5878		1.21
570		6783		1.21
7166		5467		1.21
2263		5042		1.21
3198		3225		1.21
1454		2093		1.21
5985		3687		1.21
5800		3640		1.21
5510		7682		1.21
627		9391		1.21
2086		9391		1.21
7653		987		1.21
564		3928		1.21
6119		700		1.21
2104		1708		1.21
2211		777		1.21
466		4073		1.21
3324		459		1.22
724		6015		1.22
1428		6338		1.22
8530		7393		1.22
9898		6459		1.22
78		8275		1.22
9290		229		1.22
4947		9980		1.22
9192		5061		1.22
2542		7852		1.22
1344		1025		1.22
5371		8224		1.22
5291		9863		1.22
7		3982		1.22
453		6425		1.22
3287		1380		1.22
6646		7635		1.22
6768		7085		1.22
8996		5839		1.22
736		5975		1.22
2632		1454		1.22
7677		2699		1.22
7084		8561		1.22
906		7878		1.22
2832		1140		1.22
7211		9474		1.22
5378		4084		1.22
9465		3936		1.22
6412		8456		1.22
1015		8558		1.22
6854		8529		1.22
4536		4968		1.22
8509		3201		1.22
6022		5167		1.22
1883		6093		1.23
3779		5113		1.23
2345		8178		1.23
8524		1191		1.23
1101		8061		1.23
8900		3094		1.23
2812		3164		1.23
2385		2563		1.23
4801		5903		1.23
8247		5425		1.23
1524		570		1.23
428		576		1.23
6775		6425		1.23
8862		2967		1.23
3307		5467		1.23
4197		5467		1.23
1167		1003		1.23
4145		9555		1.23
133		3198		1.23
8537		2014		1.23
7143		1087		1.23
1080		3640		1.23
3217		4272		1.23
7317		1140		1.23
6350		9465		1.23
2653		6146		1.23
1135		1251		1.23
5027		1924		1.23
6215		1135		1.23
6278		700		1.23
9227		700		1.23
2972		6234		1.23
2566		5541		1.23
5395		5465		1.24
5005		5465		1.24
7039		1883		1.24
7658		5454		1.24
5006		1625		1.24
1990		5711		1.24
5053		6352		1.24
4752		8703		1.24
4146		4801		1.24
8305		9192		1.24
3601		7		1.24
5984		3634		1.24
5281		5565		1.24
8752		3274		1.24
8157		6768		1.24
8225		7555		1.24
3308		6092		1.24
7014		173		1.24
2403		777		1.24
7896		2729		1.24
2538		4088		1.24
4999		5985		1.24
3877		425		1.24
9528		3640		1.24
66		997		1.24
1851		6278		1.24
6060		8683		1.24
9215		6119		1.24
5148		1708		1.24
8992		987		1.24
7068		2640		1.24
1542		5167		1.24
3715		3018		1.25
9544		8807		1.25
9427		6093		1.25
8795		6548		1.25
5382		187		1.25
6575		3077		1.25
5613		1876		1.25
4919		543		1.25
4751		8247		1.25
1465		3601		1.25
9565		815		1.25
8917		7166		1.25
9181		4873		1.25
5411		9124		1.25
3136		4444		1.25
7289		4388		1.25
497		7084		1.25
9211		5276		1.25
3948		5657		1.25
6308		906		1.25
7714		906		1.25
3935		9391		1.25
4303		8683		1.25
7480		2093		1.25
528		1924		1.25
308		4477		1.25
8069		8684		1.25
1945		8069		1.25
649		1708		1.25
9705		4160		1.25
6160		6334		1.25
4200		9818		1.25
9239		1083		1.25
2698		1083		1.25
8177		3928		1.25
7071		5167		1.25
1062		8177		1.25
9573		6289		1.25
4931		4338		1.26
4095		4931		1.26
8002		3779		1.26
7994		1876		1.26
1615		8178		1.26
5847		182		1.26
8713		3464		1.26
8765		4146		1.26
4330		5061		1.26
4214		8263		1.26
2560		2352		1.26
7247		4119		1.26
1319		2046		1.26
5024		3601		1.26
6966		3837		1.26
2062		2632		1.26
8181		7289		1.26
2990		1142		1.26
3027		5985		1.26
6698		8456		1.26
1010		9197		1.26
2021		9109		1.26
3424		9279		1.27
9796		836		1.27
2674		6338		1.27
5172		5465		1.27
2623		2230		1.27
1601		6093		1.27
9203		4182		1.27
1391		3510		1.27
7177		575		1.27
1046		3329		1.27
8970		4386		1.27
6889		8641		1.27
2826		543		1.27
5915		796		1.27
2376		6575		1.27
9315		7944		1.27
1366		8564		1.27
7595		5541		1.27
5414		9625		1.27
4402		8752		1.27
3249		4165		1.27
1257		9632		1.27
7756		6646		1.27
1733		2633		1.27
7584		4430		1.27
4374		2243		1.27
942		3217		1.27
162		9211		1.27
6273		7714		1.27
8726		7714		1.27
9040		942		1.27
524		1639		1.27
6007		4999		1.27
8491		6350		1.27
2768		6215		1.27
5309		1945		1.27
9996		3578		1.27
8854		1197		1.27
1951		66		1.27
3849		3987		1.27
2329		6867		1.27
339		9573		1.27
1416		3401		1.27
6564		466		1.27
4120		3424		1.28
2479		6886		1.28
4209		2025		1.28
9328		236		1.28
1963		3626		1.28
1567		5053		1.28
218		5711		1.28
6416		7177		1.28
2336		2794		1.28
7104		2376		1.28
590		9315		1.28
5582		9625		1.28
2289		7752		1.28
1066		4806		1.28
6577		5425		1.28
7093		89		1.28
2078		7150		1.28
9522		6571		1.28
7422		3375		1.28
660		6007		1.28
2765		3118		1.28
2475		9465		1.28
9045		6863		1.28
1987		7698		1.28
7734		6224		1.28
6604		5510		1.28
2129		7843		1.28
9437		1876		1.28
6122		1708		1.28
7427		2902		1.28
5852		3401		1.28
7458		6867		1.28
1418		510		1.28
2787		1418		1.28
7569		466		1.28
3294		8958		1.29
