Max flow: 276820
Edges
From		To		Capacity/Flow
1		831		4183.00/4183.00
1		300		117.00/117.00
1		931		9823.00/9823.00
1		776		7583.00/7583.00
1		519		6557.00/6557.00
1		755		2844.00/2844.00
1		691		5651.00/5651.00
1		857		1033.00/1033.00
1		227		7274.00/7274.00
1		563		8584.00/8584.00
1		590		8773.00/8773.00
1		967		5736.00/5736.00
1		27		4217.00/4217.00
1		251		2843.00/2843.00
1		866		3885.00/3885.00
1		303		5872.00/5872.00
1		626		9489.00/9489.00
1		426		3620.00/3620.00
1		299		8477.00/8477.00
1		189		1841.00/1841.00
1		429		9672.00/9672.00
1		445		9030.00/9030.00
1		109		4515.00/4515.00
1		100		1083.00/1083.00
1		133		2118.00/2118.00
1		586		4952.00/4952.00
1		7		2551.00/2551.00
1		993		9050.00/9050.00
1		937		6345.00/6345.00
1		94		1027.00/1027.00
1		385		7309.00/7309.00
1		350		1019.00/1019.00
1		740		4790.00/4790.00
1		682		4420.00/4420.00
1		486		4510.00/4510.00
1		818		9094.00/9094.00
1		19		2560.00/2560.00
1		958		7695.00/7695.00
1		701		2368.00/2368.00
1		388		7300.00/7300.00
1		6		4831.00/4831.00
1		217		9386.00/9386.00
1		417		965.00/965.00
1		78		4393.00/4393.00
1		530		823.00/823.00
1		416		4759.00/4759.00
1		863		9724.00/9724.00
1		121		9784.00/9784.00
1		139		1515.00/1515.00
1		741		7284.00/7284.00
1		915		7490.00/7490.00
1		564		6056.00/6056.00
3		584		2420.00/0.00
3		709		2317.00/0.00
3		652		1319.00/0.00
3		735		8929.00/0.00
3		863		4576.00/0.00
3		363		2978.00/0.00
3		174		5235.00/0.00
4		893		1287.00/0.00
4		370		9615.00/0.00
4		590		3796.00/0.00
5		947		5986.00/0.00
5		414		4650.00/0.00
5		223		5420.00/0.00
5		370		1415.00/0.00
5		40		2325.00/0.00
6		691		4821.00/0.00
6		926		5169.00/1911.00
6		271		3674.00/2920.00
6		538		3942.00/0.00
7		548		5167.00/0.00
7		766		7727.00/2551.00
7		814		7971.00/0.00
7		515		8417.00/0.00
8		771		8755.00/390.00
8		787		3651.00/0.00
8		2		96.00/96.00
8		379		7890.00/3831.00
9		486		5820.00/0.00
9		942		4355.00/0.00
9		361		9692.00/0.00
9		16		3965.00/0.00
9		2		4990.00/4990.00
9		345		9451.00/0.00
9		165		6677.00/0.00
9		854		4567.00/0.00
10		15		1766.00/0.00
10		13		6404.00/0.00
10		342		9244.00/0.00
10		667		4141.00/0.00
10		39		2687.00/0.00
10		754		2589.00/0.00
10		528		5683.00/0.00
11		679		2368.00/0.00
11		972		1689.00/0.00
11		411		3766.00/0.00
11		238		9081.00/0.00
11		122		7714.00/0.00
11		214		9092.00/0.00
11		178		3739.00/0.00
11		647		3659.00/0.00
11		167		813.00/0.00
12		348		2864.00/0.00
12		198		7820.00/0.00
12		88		5956.00/0.00
12		705		3699.00/0.00
12		808		7259.00/0.00
12		623		4703.00/0.00
12		930		771.00/0.00
13		916		5255.00/0.00
13		907		7931.00/0.00
13		8		3510.00/0.00
13		804		5515.00/0.00
13		771		4745.00/0.00
14		650		8377.00/0.00
14		871		5081.00/0.00
15		96		4333.00/0.00
15		783		2411.00/0.00
15		955		2814.00/0.00
15		640		8218.00/0.00
16		245		4178.00/0.00
16		408		8396.00/0.00
16		353		184.00/0.00
16		723		5811.00/2850.00
16		350		8089.00/0.00
17		665		3719.00/0.00
17		374		471.00/0.00
17		139		9069.00/0.00
17		511		3084.00/0.00
17		332		5752.00/0.00
17		409		968.00/0.00
17		732		2882.00/0.00
17		494		9945.00/0.00
17		238		9433.00/0.00
18		218		1273.00/0.00
18		413		7725.00/0.00
18		500		2617.00/0.00
18		778		4175.00/0.00
18		355		736.00/0.00
18		11		9799.00/0.00
18		625		8999.00/0.00
19		812		292.00/0.00
19		771		1615.00/1615.00
19		487		1143.00/945.00
19		739		5027.00/0.00
20		228		4659.00/0.00
20		973		9377.00/0.00
20		758		7195.00/0.00
20		240		2381.00/0.00
20		837		9515.00/0.00
20		791		4418.00/0.00
21		439		9282.00/1058.00
21		136		9634.00/0.00
21		62		9878.00/0.00
21		366		6313.00/0.00
21		647		1281.00/0.00
21		230		8407.00/0.00
21		866		9019.00/0.00
22		278		4325.00/0.00
22		342		8245.00/2757.00
22		2		1768.00/1768.00
22		829		1326.00/0.00
22		561		6431.00/0.00
22		568		5875.00/0.00
22		40		7998.00/0.00
22		431		1057.00/0.00
23		396		8715.00/0.00
23		933		1629.00/0.00
23		44		3120.00/0.00
23		834		3403.00/0.00
23		502		8304.00/0.00
24		653		2601.00/0.00
24		350		889.00/0.00
24		386		1121.00/1121.00
24		100		830.00/0.00
25		293		7435.00/0.00
25		924		2605.00/0.00
25		298		3540.00/0.00
25		93		6289.00/0.00
25		882		7815.00/0.00
25		706		6059.00/0.00
26		16		227.00/0.00
26		52		4254.00/0.00
26		941		5298.00/0.00
26		355		2400.00/0.00
26		63		3376.00/0.00
26		846		7362.00/0.00
27		397		9010.00/0.00
27		911		9295.00/480.00
27		812		2447.00/0.00
27		445		8258.00/0.00
27		727		8591.00/0.00
27		782		3737.00/3737.00
27		489		6806.00/0.00
28		758		7472.00/0.00
28		297		8127.00/0.00
28		504		5163.00/0.00
28		158		2665.00/0.00
28		933		4130.00/0.00
28		884		4276.00/0.00
28		355		7363.00/0.00
29		730		5088.00/0.00
29		228		6670.00/0.00
29		112		5307.00/0.00
29		698		4340.00/4340.00
29		255		4230.00/0.00
29		893		4132.00/0.00
29		674		8319.00/0.00
29		419		7798.00/2750.00
29		703		9128.00/238.00
29		432		2102.00/0.00
30		871		744.00/0.00
30		507		1197.00/0.00
30		857		508.00/0.00
30		671		8252.00/0.00
30		869		4809.00/0.00
30		495		8593.00/0.00
30		832		599.00/0.00
30		72		251.00/251.00
30		181		2805.00/0.00
31		858		5607.00/0.00
31		891		1824.00/0.00
31		199		770.00/0.00
31		426		3243.00/0.00
32		824		2021.00/0.00
32		215		9275.00/0.00
32		287		4487.00/0.00
32		198		7700.00/0.00
32		374		7260.00/0.00
32		272		9194.00/0.00
33		840		6220.00/0.00
33		692		7109.00/0.00
33		328		5119.00/0.00
33		933		2618.00/0.00
33		138		1039.00/0.00
33		589		6846.00/0.00
33		937		1457.00/0.00
33		817		1003.00/0.00
33		174		7162.00/0.00
34		562		172.00/0.00
34		630		8211.00/0.00
34		775		1431.00/0.00
34		187		7081.00/0.00
34		586		5255.00/0.00
34		690		992.00/0.00
34		120		7911.00/0.00
34		730		891.00/0.00
34		819		8637.00/0.00
34		36		9771.00/0.00
34		666		388.00/0.00
34		362		9698.00/0.00
35		421		4199.00/0.00
35		165		9385.00/0.00
35		609		5222.00/1982.00
35		493		7728.00/0.00
35		848		1097.00/0.00
35		861		4625.00/0.00
36		378		5832.00/0.00
36		145		6969.00/0.00
36		278		6288.00/0.00
36		853		266.00/0.00
36		138		5728.00/0.00
36		312		686.00/0.00
36		522		2707.00/0.00
37		709		1614.00/0.00
37		24		5751.00/0.00
37		139		6110.00/0.00
38		814		2520.00/0.00
38		2		216.00/216.00
38		914		500.00/0.00
38		78		4903.00/0.00
38		687		2057.00/0.00
38		792		2953.00/0.00
39		957		1810.00/0.00
39		643		3744.00/0.00
39		949		9371.00/0.00
39		148		8244.00/0.00
39		381		7120.00/0.00
39		286		6251.00/0.00
40		910		7805.00/0.00
40		516		1154.00/0.00
40		117		9646.00/0.00
40		752		2071.00/0.00
40		119		2595.00/0.00
40		462		3502.00/0.00
41		13		4802.00/0.00
41		513		8292.00/0.00
41		565		7764.00/0.00
41		727		9730.00/0.00
41		711		1032.00/0.00
42		320		3359.00/0.00
42		56		957.00/0.00
42		190		7843.00/0.00
42		860		3456.00/0.00
42		223		9840.00/0.00
42		176		5325.00/0.00
42		925		7400.00/0.00
43		940		3958.00/0.00
43		960		4086.00/0.00
43		132		1314.00/0.00
43		676		2941.00/0.00
43		910		8186.00/0.00
43		409		1059.00/0.00
43		100		264.00/0.00
43		353		6705.00/0.00
43		394		7904.00/0.00
43		218		2220.00/0.00
44		900		9046.00/0.00
44		613		6852.00/0.00
45		941		5168.00/0.00
45		377		8480.00/0.00
45		359		6305.00/0.00
45		218		869.00/0.00
46		575		5347.00/0.00
46		796		5734.00/0.00
46		93		6024.00/0.00
46		916		6806.00/0.00
46		454		2839.00/0.00
46		164		4321.00/0.00
47		668		2731.00/0.00
47		987		6439.00/0.00
47		768		6829.00/0.00
