(total cost: 2247.07)
id		father		cost
1759		7370		0.13
8761		1759		0.06
4976		6007		0.16
5220		4976		0.04
213		5220		0.00
5948		5849		0.16
4834		1759		0.16
6527		2832		0.16
8251		6527		0.14
4292		4976		0.17
998		4292		0.02
4985		998		0.02
1440		4985		0.00
5743		4292		0.10
552		1440		0.10
2486		552		0.05
3600		2486		0.09
6982		3600		0.08
3559		552		0.10
8154		552		0.10
6706		6982		0.12
2127		6706		0.04
5054		4985		0.13
5015		6982		0.17
6122		8154		0.17
5221		6122		0.01
1467		5221		0.06
2555		6122		0.15
6633		809		0.17
9307		6633		0.11
6659		9307		0.09
6368		6659		0.12
4301		9307		0.14
2902		9573		0.17
7698		2902		0.01
6546		2902		0.04
4475		6546		0.01
1987		7698		0.13
7427		2902		0.14
6639		1467		0.17
4997		9307		0.17
4563		5843		0.18
7869		3027		0.19
9457		7869		0.07
5150		9457		0.05
7751		5150		0.11
2549		9457		0.16
4859		2549		0.07
7031		4859		0.04
1371		7031		0.14
7051		1371		0.12
5000		7051		0.08
6559		2549		0.15
9948		6559		0.03
7962		9948		0.14
1822		4859		0.15
8410		1822		0.08
9235		8410		0.05
5474		7869		0.17
7268		5474		0.09
9903		5474		0.09
9926		7268		0.09
4146		5474		0.10
4801		4146		0.01
8765		4146		0.02
5903		4801		0.04
4169		4801		0.09
6268		9926		0.10
8257		5903		0.10
5760		8257		0.09
1018		7268		0.11
1486		4146		0.12
7152		7268		0.13
3166		6268		0.13
1092		5903		0.13
495		1092		0.04
2143		1092		0.10
7198		495		0.10
7731		7198		0.07
7081		1092		0.12
7205		495		0.12
2436		2143		0.13
7925		2436		0.08
1176		8257		0.15
9081		7731		0.15
6945		9081		0.00
5378		4146		0.15
4084		5378		0.07
7303		4084		0.00
5982		7303		0.01
796		4084		0.10
5915		796		0.07
1497		5982		0.10
4873		1497		0.08
8193		5378		0.13
5618		7205		0.16
7010		9081		0.16
5950		7010		0.03
1030		5950		0.15
7981		1030		0.07
8116		7981		0.05
4068		7981		0.08
532		7981		0.12
3200		8116		0.13
5923		1030		0.15
431		7981		0.15
8005		431		0.02
5964		8005		0.04
3606		8005		0.10
9282		3606		0.14
5533		9282		0.10
8662		9282		0.14
6680		8662		0.10
2858		6680		0.03
6193		5533		0.14
5587		8116		0.15
5520		5923		0.16
9521		5520		0.09
9776		9521		0.00
9354		8765		0.16
6185		5378		0.17
3239		7981		0.17
8781		3239		0.12
1175		8781		0.05
6235		8781		0.12
6486		6235		0.04
1716		1018		0.17
2806		4859		0.17
2553		2806		0.11
1538		2553		0.15
3041		1538		0.07
1656		2858		0.17
4175		1656		0.13
4979		3239		0.17
8901		4979		0.02
6995		4979		0.03
1442		8901		0.09
1036		8901		0.10
7038		8901		0.12
2053		7038		0.03
2047		7038		0.11
876		2047		0.04
7461		2047		0.11
5877		7461		0.05
4156		5877		0.01
881		5877		0.03
2156		881		0.02
8206		7461		0.05
6626		881		0.06
7589		6626		0.00
3163		6626		0.05
6884		3163		0.02
2484		6884		0.08
5348		2484		0.05
3870		881		0.09
2170		3870		0.01
1795		3870		0.05
3863		3870		0.06
1883		2484		0.09
7039		1883		0.01
818		7039		0.07
4684		3870		0.09
6194		3863		0.09
5934		6194		0.06
7883		5934		0.02
4755		5934		0.04
2768		5877		0.10
6215		2768		0.04
1135		6215		0.00
8665		6215		0.11
4676		8665		0.01
1279		8665		0.09
372		2170		0.12
4656		2053		0.14
7736		4656		0.02
3086		5348		0.14
8030		6215		0.14
6757		4656		0.14
335		6757		0.01
4483		6757		0.02
3839		4483		0.06
3530		372		0.15
8548		3530		0.01
5438		7883		0.15
1251		1135		0.15
7878		1251		0.14
3837		7878		0.00
3515		3837		0.08
787		3515		0.05
1087		3515		0.11
7143		1087		0.10
4406		3515		0.14
1853		4406		0.04
8224		1853		0.00
2230		1853		0.14
2855		2230		0.04
8782		1853		0.14
7393		8782		0.03
3051		8901		0.16
8530		7393		0.16
7629		4656		0.16
6550		7629		0.13
7669		6550		0.07
8651		7669		0.07
599		8548		0.17
2633		7878		0.17
741		2633		0.06
1900		2633		0.10
2348		741		0.11
3977		2348		0.10
6510		741		0.16
3118		3515		0.17
2765		3118		0.09
3345		3118		0.14
5409		3345		0.14
7748		5409		0.13
8542		5409		0.15
9582		8542		0.03
7865		9582		0.08
9171		3118		0.15
7832		9171		0.04
4803		2765		0.15
884		7669		0.17
4013		2484		0.18
9743		1087		0.18
803		3200		0.18
7435		803		0.12
2637		1036		0.18
77		2637		0.09
2184		77		0.04
4021		2184		0.02
3254		2184		0.15
9723		1822		0.18
7070		3863		0.18
3400		7070		0.06
7866		8224		0.18
5489		7866		0.02
1804		7981		0.18
5393		1804		0.14
1487		5393		0.11
6210		1487		0.10
6654		1487		0.11
1079		6654		0.00
4382		1079		0.16
9785		4382		0.00
2655		4382		0.01
2005		9785		0.09
1734		2005		0.02
9500		2655		0.10
2442		2005		0.12
9829		2442		0.03
8008		2442		0.09
3235		8008		0.07
2430		1822		0.18
4080		2430		0.11
7343		2430		0.16
4010		7343		0.14
2518		4010		0.09
9350		2518		0.10
1902		4676		0.18
9443		8116		0.18
5560		9443		0.12
3326		2858		0.18
5		3326		0.12
2345		2768		0.18
8178		2345		0.16
5293		4156		0.18
5615		2143		0.19
1615		8178		0.19
7096		9582		0.19
2618		7096		0.01
5228		2618		0.05
9463		2618		0.08
6951		9463		0.12
7611		6951		0.08
1069		7611		0.14
2584		1069		0.14
8736		6951		0.16
6961		6951		0.17
2887		6961		0.07
9058		2887		0.01
2709		9058		0.09
2068		2709		0.07
9794		2068		0.11
6476		9794		0.03
2928		9794		0.03
8312		6476		0.09
6048		9794		0.17
5552		6048		0.13
358		9794		0.17
730		358		0.06
4278		358		0.13
4153		4278		0.01
7828		4278		0.11
3533		7828		0.03
9212		730		0.17
9488		9212		0.11
6952		9488		0.08
8793		9488		0.15
4079		6952		0.16
9489		4079		0.05
5096		9489		0.00
7900		5096		0.05
2894		4079		0.14
4941		9489		0.15
5101		4941		0.05
546		5101		0.12
5817		546		0.07
1275		546		0.09
1905		1275		0.06
5946		358		0.17
9394		1275		0.17
5845		9394		0.10
1567		5845		0.06
5053		1567		0.04
6352		5053		0.03
2763		1567		0.09
1574		2763		0.03
9770		2763		0.16
9624		9770		0.07
3186		9624		0.06
6270		9624		0.09
7953		5817		0.17
827		5845		0.19
9153		827		0.01
9472		730		0.19
5201		9472		0.14
2278		5201		0.10
4858		2278		0.07
7019		2278		0.13
8356		2278		0.16
6531		4858		0.17
8605		6531		0.03
5296		6531		0.09
3109		5296		0.01
7681		3109		0.09
3480		5296		0.16
8165		3480		0.11
170		8165		0.05
3471		170		0.07
1793		3480		0.12
9391		3480		0.15
2652		9391		0.05
6835		1793		0.15
129		2652		0.15
7752		6531		0.16
7809		7752		0.08
475		8605		0.16
4823		475		0.04
2228		475		0.06
1897		4823		0.14
2953		1897		0.02
7592		2953		0.06
2408		2953		0.06
7114		2408		0.11
1499		7114		0.10
2289		7752		0.17
9894		1897		0.18
8482		9894		0.00
4565		9894		0.08
7275		9894		0.13
9853		9894		0.17
9658		2278		0.18
3781		9658		0.02
8323		9658		0.08
8456		3781		0.10
6412		8456		0.04
6698		8456		0.08
3799		6698		0.04
1300		3799		0.11
4088		9658		0.13
2538		4088		0.05
5792		1300		0.16
9439		4565		0.18
8396		9439		0.09
8960		1175		0.19
1150		8960		0.10
3340		1150		0.15
9332		3340		0.09
4071		9332		0.07
9679		3340		0.12
1723		9679		0.07
1456		1723		0.01
4487		4071		0.15
4275		4487		0.07
2625		4275		0.09
6856		4275		0.14
851		2625		0.18
3568		5792		0.19
6149		3568		0.16
901		4834		0.19
2271		901		0.03
4432		901		0.03
6481		2271		0.05
1956		4432		0.08
9796		2271		0.17
8999		9796		0.06
1489		8999		0.12
1462		1489		0.06
7290		1489		0.09
1417		7290		0.00
9554		1417		0.01
4498		9554		0.08
3888		1417		0.09
9196		3888		0.05
7693		3888		0.07
836		9796		0.17
6886		836		0.04
27		836		0.04
4982		27		0.12
2712		4982		0.02
2479		6886		0.14
7399		1462		0.18
353		6289		0.19
2418		2712		0.19
6011		2418		0.01
7136		1155		0.19
185		4565		0.19
6138		185		0.01
