Max flow: 284
Edges
From		To		Capacity/Flow
41		792		6.00/0.00
41		250		8.00/0.00
42		690		10.00/0.00
42		998		6.00/0.00
42		848		4.00/0.00
42		206		1.00/0.00
42		733		2.00/0.00
42		60		5.00/0.00
43		385		5.00/0.00
43		460		7.00/0.00
43		287		4.00/0.00
43		516		7.00/0.00
43		751		1.00/0.00
43		426		10.00/0.00
43		2		10.00/10.00
44		279		5.00/0.00
44		851		8.00/0.00
44		398		5.00/0.00
44		536		3.00/0.00
44		452		9.00/0.00
44		301		2.00/0.00
44		666		3.00/0.00
44		224		8.00/0.00
44		595		4.00/0.00
45		208		9.00/0.00
45		236		9.00/0.00
45		920		1.00/0.00
45		537		7.00/0.00
45		445		9.00/0.00
46		513		8.00/0.00
46		923		7.00/0.00
47		887		5.00/0.00
47		292		2.00/2.00
47		709		5.00/0.00
47		991		9.00/1.00
48		702		1.00/0.00
48		929		7.00/0.00
48		850		8.00/0.00
48		591		7.00/0.00
48		917		7.00/0.00
48		379		1.00/0.00
48		533		5.00/4.00
49		354		6.00/0.00
49		160		2.00/0.00
49		360		1.00/0.00
50		646		3.00/3.00
50		349		1.00/1.00
50		928		3.00/2.00
50		672		7.00/0.00
51		610		7.00/0.00
51		680		1.00/0.00
51		604		8.00/0.00
51		650		8.00/0.00
52		463		10.00/0.00
52		779		3.00/0.00
52		498		5.00/0.00
52		157		4.00/0.00
52		528		4.00/0.00
53		991		9.00/0.00
53		475		9.00/0.00
53		39		3.00/0.00
53		548		6.00/0.00
53		645		8.00/0.00
53		905		6.00/0.00
54		695		1.00/0.00
54		185		2.00/0.00
54		745		5.00/0.00
55		136		8.00/0.00
55		230		1.00/0.00
55		782		8.00/0.00
55		249		5.00/0.00
55		443		1.00/0.00
55		472		5.00/0.00
55		775		10.00/0.00
55		854		3.00/0.00
55		276		10.00/0.00
55		397		4.00/0.00
55		337		7.00/0.00
56		1000		10.00/0.00
56		766		10.00/0.00
56		686		2.00/0.00
56		733		5.00/0.00
56		551		2.00/0.00
56		535		7.00/0.00
56		243		1.00/0.00
56		292		10.00/6.00
56		640		8.00/0.00
56		393		4.00/0.00
56		130		10.00/0.00
56		104		7.00/0.00
57		549		8.00/0.00
57		999		1.00/0.00
57		108		7.00/0.00
57		328		2.00/0.00
57		688		5.00/0.00
57		385		4.00/0.00
57		513		9.00/0.00
57		729		4.00/0.00
58		526		2.00/0.00
58		187		4.00/0.00
58		501		9.00/0.00
