(total cost: 220.11)
id		father		cost
1		0		0.00
369		1		0.07
208		369		0.05
968		208		0.12
325		369		0.15
864		369		0.21
361		864		0.14
195		361		0.06
449		361		0.06
397		449		0.02
576		397		0.06
362		576		0.08
909		576		0.13
675		909		0.05
232		675		0.11
925		362		0.15
297		361		0.18
634		297		0.08
943		634		0.14
810		361		0.20
721		968		0.22
835		721		0.08
360		835		0.04
83		360		0.08
475		360		0.12
107		475		0.02
388		83		0.13
871		388		0.06
18		475		0.19
459		18		0.07
920		459		0.13
404		721		0.19
178		404		0.09
329		178		0.00
751		329		0.00
832		404		0.10
848		751		0.10
834		848		0.07
601		178		0.11
952		601		0.14
706		601		0.14
790		706		0.10
199		706		0.17
532		178		0.17
37		532		0.03
472		532		0.11
716		472		0.11
384		716		0.04
914		384		0.06
717		914		0.04
679		914		0.04
514		679		0.06
69		716		0.07
240		384		0.08
986		914		0.09
395		986		0.08
32		69		0.09
739		32		0.01
346		739		0.05
959		32		0.11
772		472		0.12
629		772		0.05
163		69		0.14
250		69		0.14
401		250		0.12
437		401		0.02
307		401		0.03
100		250		0.13
381		395		0.15
591		69		0.17
314		37		0.18
879		739		0.18
344		879		0.17
616		344		0.06
407		848		0.19
22		407		0.05
59		22		0.02
203		37		0.19
666		203		0.18
366		666		0.09
160		666		0.13
937		666		0.17
200		32		0.20
621		200		0.14
275		621		0.04
212		275		0.03
386		212		0.00
941		386		0.03
746		212		0.09
665		212		0.15
67		665		0.15
219		67		0.06
256		219		0.12
480		256		0.02
564		256		0.03
499		564		0.13
819		499		0.03
28		621		0.16
10		28		0.00
597		10		0.08
172		597		0.02
635		172		0.01
446		635		0.12
840		18		0.20
9		840		0.06
205		9		0.09
255		205		0.01
4		205		0.05
249		205		0.06
730		4		0.06
818		205		0.09
562		205		0.10
668		562		0.10
435		255		0.12
222		255		0.16
229		668		0.16
614		840		0.18
166		614		0.01
316		166		0.12
624		316		0.04
477		614		0.14
947		514		0.21
740		59		0.21
657		947		0.21
13		657		0.02
541		13		0.14
798		541		0.04
124		541		0.14
550		124		0.00
553		920		0.21
391		477		0.21
231		391		0.04
911		391		0.10
287		911		0.06
607		911		0.07
542		607		0.01
225		542		0.10
492		225		0.08
445		492		0.03
186		911		0.11
198		287		0.12
608		492		0.19
318		679		0.21
488		318		0.02
737		318		0.18
994		186		0.21
77		542		0.21
685		607		0.22
771		685		0.02
636		771		0.01
714		636		0.01
750		636		0.03
192		636		0.08
38		750		0.08
128		38		0.05
24		128		0.01
795		714		0.08
633		750		0.09
57		192		0.09
454		636		0.15
966		454		0.15
444		966		0.12
244		966		0.17
155		244		0.05
136		155		0.12
599		136		0.13
473		244		0.16
715		136		0.16
241		599		0.16
830		155		0.16
570		444		0.18
610		570		0.06
863		610		0.16
821		863		0.11
