id		father		cost
777		0		0.00
759		777		0.01
506		777		0.07
143		777		0.09
870		143		0.22
236		777		0.23
755		143		0.30
120		777		0.38
997		120		0.38
356		997		0.40
208		506		0.40
811		759		0.43
585		356		0.43
369		208		0.45
887		997		0.46
87		143		0.48
302		759		0.48
710		755		0.48
645		506		0.49
497		356		0.49
543		811		0.50
964		506		0.51
938		777		0.52
968		208		0.52
1		369		0.52
406		870		0.53
610		997		0.56
158		543		0.58
420		543		0.58
855		811		0.60
638		497		0.60
440		710		0.60
325		369		0.60
570		610		0.62
280		543		0.63
321		497		0.66
714		208		0.66
613		208		0.66
864		369		0.66
838		236		0.67
636		714		0.67
579		143		0.68
883		497		0.68
75		638		0.68
586		497		0.68
771		636		0.68
189		420		0.69
578		497		0.69
98		759		0.69
684		579		0.70
592		321		0.70
750		636		0.70
685		771		0.70
276		938		0.71
63		645		0.71
863		610		0.72
248		777		0.73
494		938		0.74
789		883		0.74
148		578		0.74
795		714		0.74
774		98		0.74
721		968		0.74
192		636		0.75
351		208		0.75
623		710		0.75
414		494		0.76
97		997		0.76
594		586		0.76
139		98		0.76
989		494		0.77
277		594		0.77
92		148		0.77
289		139		0.77
171		938		0.78
38		750		0.78
62		143		0.79
119		586		0.79
112		440		0.79
330		570		0.79
633		750		0.79
432		277		0.80
727		710		0.80
589		543		0.80
444		570		0.80
361		864		0.80
735		1		0.80
272		208		0.80
467		964		0.81
851		272		0.81
890		414		0.82
786		755		0.82
4		87		0.82
835		721		0.82
454		636		0.82
766		684		0.83
290		158		0.83
821		863		0.83
128		38		0.83
141		98		0.83
605		497		0.84
24		128		0.84
57		192		0.84
983		248		0.84
748		62		0.85
822		870		0.85
554		838		0.85
724		870		0.86
489		586		0.86
228		883		0.86
195		361		0.86
360		835		0.86
449		361		0.86
643		276		0.87
815		302		0.87
476		189		0.87
205		4		0.87
448		636		0.87
730		4		0.88
255		205		0.88
894		589		0.88
397		449		0.88
606		735		0.88
465		606		0.88
743		543		0.89
452		743		0.89
697		289		0.89
332		321		0.89
28		406		0.89
10		28		0.89
350		1		0.89
544		579		0.90
270		777		0.90
530		414		0.90
348		815		0.90
76		613		0.90
893		98		0.90
754		332		0.90
511		272		0.90
312		189		0.91
315		312		0.91
650		554		0.91
793		735		0.91
326		983		0.91
787		530		0.92
316		75		0.92
797		432		0.92
607		685		0.92
791		697		0.92
966		444		0.92
447		774		0.92
105		968		0.92
976		432		0.93
300		710		0.93
249		205		0.93
837		795		0.93
909		98		0.93
542		607		0.93
802		610		0.93
404		721		0.93
862		851		0.93
460		592		0.94
466		192		0.94
576		397		0.94
83		360		0.94
825		511		0.94
64		684		0.95
238		460		0.95
682		112		0.95
365		623		0.95
884		623		0.95
572		208		0.95
25		811		0.96
458		544		0.96
945		997		0.96
624		316		0.96
709		300		0.96
9		205		0.96
818		205		0.96
292		721		0.96
132		406		0.96
386		613		0.96
212		386		0.96
184		579		0.97
382		458		0.97
422		64		0.97
150		787		0.97
612		189		0.97
562		205		0.97
7		821		0.97
243		236		0.97
597		10		0.97
257		685		0.97
47		248		0.97
296		422		0.98
994		795		0.98
50		98		0.98
675		909		0.98
475		360		0.98
464		727		0.98
896		448		0.98
939		139		0.98
297		361		0.98
42		572		0.98
667		748		0.99
705		667		0.99
27		710		0.99
911		607		0.99
172		597		0.99
275		212		0.99
941		386		0.99
409		890		1.00
435		255		1.00
134		300		1.00
478		238		1.00
845		855		1.00
690		855		1.00
942		610		1.00
107		475		1.00
852		964		1.00
810		361		1.00
635		172		1.00
265		105		1.00
193		452		1.01
200		855		1.01
431		92		1.01
598		76		1.01
14		64		1.02
583		97		1.02
114		409		1.02
622		409		1.02
274		134		1.02
308		592		1.02
840		9		1.02
436		754		1.02
931		467		1.02
816		148		1.02
362		576		1.02
744		289		1.02
178		404		1.02
329		178		1.02
751		329		1.02
631		938		1.03
806		290		1.03
619		806		1.03
501		709		1.03
6		432		1.03
379		942		1.03
278		894		1.03
225		542		1.03
832		404		1.03
485		793		1.03
621		275		1.03
127		554		1.03
813		139		1.03
123		735		1.03
516		964		1.04
246		759		1.04
166		316		1.04
222		255		1.04
206		870		1.04
559		636		1.04
140		47		1.04
12		983		1.04
628		766		1.05
266		797		1.05
614		166		1.05
287		911		1.05
933		497		1.05
334		939		1.05
371		983		1.05
746		212		1.05
934		12		1.05
168		280		1.06
556		835		1.06
634		297		1.06
656		143		1.06
52		280		1.07
61		787		1.07
43		466		1.07
668		562		1.07
602		638		1.07
175		76		1.07
388		83		1.07
339		351		1.07
669		939		1.07
309		636		1.07
731		120		1.08
805		791		1.08
824		175		1.08
809		485		1.08
1000		851		1.08
185		61		1.09
59		24		1.09
232		675		1.09
391		911		1.09
91		931		1.09
116		802		1.09
244		966		1.09
906		449		1.09
595		690		1.10
798		645		1.10
186		911		1.10
445		983		1.10
642		193		1.11
692		811		1.11
416		330		1.11
991		598		1.11
492		225		1.11
22		59		1.11
540		605		1.11
399		92		1.11
580		906		1.11
434		105		1.11
665		212		1.11
113		64		1.12
247		638		1.12
984		114		1.12
535		821		1.12
561		589		1.12
861		797		1.12
905		289		1.12
947		777		1.12
921		466		1.12
734		321		1.12
446		635		1.12
848		751		1.12
901		887		1.12
402		835		1.12
872		42		1.12
174		171		1.13
985		989		1.13
60		942		1.13
149		158		1.13
871		388		1.13
231		391		1.13
590		334		1.13
23		265		1.13
601		178		1.13
647		449		1.13
529		326		1.13
191		628		1.14
741		945		1.14
176		300		1.14
77		542		1.14
209		602		1.14
89		436		1.14
453		805		1.14
541		798		1.14
672		339		1.14
155		244		1.14
898		855		1.14
203		28		1.14
169		647		1.14
284		793		1.14
568		143		1.15
240		579		1.15
753		610		1.15
429		420		1.15
473		789		1.15
877		128		1.15
993		837		1.15
503		141		1.15
829		289		1.15
421		933		1.15
387		556		1.15
932		516		1.16
417		414		1.16
482		586		1.16
96		535		1.16
693		57		1.16
407		22		1.16
527		302		1.16
663		909		1.16
152		592		1.16
558		697		1.16
103		449		1.16
729		976		1.17
908		63		1.17
260		861		1.17
359		89		1.17
198		287		1.17
525		397		1.17
799		755		1.17
11		132		1.17
18		475		1.17
74		829		1.17
756		7		1.17
940		605		1.17
925		362		1.17
162		127		1.17
974		248		1.17
311		123		1.17
683		568		1.18
294		174		1.18
826		583		1.18
874		185		1.18
660		561		1.18
337		909		1.18
35		730		1.18
389		255		1.18
286		822		1.18
165		464		1.18
970		825		1.18
596		793		1.18
32		270		1.19
769		976		1.19
477		614		1.19
519		96		1.19
393		76		1.19
987		818		1.19
335		818		1.19
363		35		1.19
261		816		1.19
834		848		1.19
532		178		1.19
2		294		1.20
739		32		1.20
876		636		1.20
355		482		1.20
571		134		1.20
259		697		1.20
943		634		1.20
306		406		1.20
463		901		1.20
153		404		1.20
370		208		1.20
990		769		1.21
716		158		1.21
241		605		1.21
45		6		1.21
639		24		1.21
392		248		1.21
156		351		1.21
582		613		1.21
303		647		1.21
917		370		1.21
56		636		1.21
961		917		1.21
778		945		1.22
81		158		1.22
531		530		1.22
237		98		1.22
915		990		1.22
13		9		1.22
688		24		1.22
658		714		1.22
760		921		1.22
37		532		1.22
678		465		1.22
41		961		1.22
767		365		1.22
384		240		1.23
126		876		1.23
913		806		1.23
229		668		1.23
564		300		1.23
194		243		1.23
428		306		1.23
711		105		1.23
48		292		1.23
998		961		1.23
84		568		1.24
879		4		1.24
676		797		1.24
268		638		1.24
918		501		1.24
657		13		1.24
427		422		1.24
455		200		1.24
967		416		1.24
953		908		1.24
80		476		1.24
20		605		1.24
459		18		1.24
546		542		1.24
15		669		1.24
703		15		1.24
745		172		1.24
733		759		1.24
346		739		1.25
31		206		1.25
708		883		1.25
437		289		1.25
673		416		1.25
973		379		1.25
653		540		1.25
403		175		1.25
944		663		1.25
574		284		1.25
629		622		1.26
891		120		1.26
366		158		1.26
588		57		1.26
765		973		1.26
439		816		1.26
256		564		1.26
648		464		1.26
136		155		1.26
425		153		1.26
295		370		1.26
513		123		1.26
844		998		1.26
67		665		1.26
70		870		1.27
353		81		1.27
687		420		1.27
857		355		1.27
927		114		1.27
327		431		1.27
937		682		1.27
773		660		1.27
145		453		1.27
78		993		1.27
401		437		1.27
803		765		1.27
69		837		1.27
895		292		1.27
952		601		1.27
706		601		1.27
969		998		1.27
694		656		1.27
641		901		1.27
640		683		1.28
875		189		1.28
728		246		1.28
977		989		1.28
617		174		1.28
182		52		1.28
581		315		1.28
536		64		1.28
627		953		1.28
167		931		1.28
124		541		1.28
550		124		1.28
480		256		1.28
357		259		1.28
110		465		1.28
253		84		1.29
281		63		1.29
914		384		1.29
233		409		1.29
142		927		1.29
73		327		1.29
850		803		1.29
160		339		1.29
980		194		1.29
498		710		1.29
664		809		1.29
137		141		1.29
517		193		1.30
929		277		1.30
959		32		1.30
108		617		1.30
26		355		1.30
82		348		1.30
761		209		1.30
740		59		1.30
307		401		1.30
962		453		1.30
696		821		1.30
608		492		1.30
831		280		1.30
54		476		1.30
866		436		1.30
823		357		1.30
221		795		1.30
830		155		1.30
138		909		1.30
472		532		1.30
978		921		1.30
71		172		1.30
267		156		1.30
948		463		1.30
521		98		1.30
125		295		1.30
885		243		1.30
373		767		1.30
785		685		1.30
839		452		1.31
53		87		1.31
772		629		1.31
670		432		1.31
201		821		1.31
552		561		1.31
910		228		1.31
214		337		1.31
251		696		1.31
843		696		1.31
207		149		1.31
374		466		1.31
252		150		1.32
161		497		1.32
587		676		1.32
689		857		1.32
250		893		1.32
600		185		1.32
949		167		1.32
490		43		1.32
51		116		1.32
385		244		1.32
279		906		1.32
788		898		1.32
666		203		1.32
522		292		1.32
219		67		1.32
320		42		1.32
349		934		1.32
21		517		1.33
717		914		1.33
679		914		1.33
217		361		1.33
780		482		1.33
514		947		1.33
916		939		1.33
94		465		1.33
144		57		1.33
461		633		1.33
904		70		1.34
115		355		1.34
215		60		1.34
820		805		1.34
298		913		1.34
557		298		1.34
555		287		1.34
615		393		1.34
790		369		1.34
157		89		1.34
508		143		1.34
979		244		1.34
846		613		1.34
443		212		1.34
951		236		1.34
523		559		1.34
957		169		1.34
310		41		1.34
121		795		1.34
95		300		1.35
817		990		1.35
897		619		1.35
131		967		1.35
630		473		1.35
8		953		1.35
565		225		1.35
396		653		1.35
235		243		1.35
775		329		1.35
470		402		1.35
269		272		1.35
732		269		1.35
971		1000		1.35
364		63		1.36
770		252		1.36
412		730		1.36
995		255		1.36
603		114		1.36
324		321		1.36
725		650		1.36
499		564		1.36
170		189		1.36
982		205		1.36
510		137		1.36
230		127		1.36
456		364		1.37
680		583		1.37
758		554		1.37
479		475		1.37
204		939		1.37
599		241		1.37
719		399		1.37
380		501		1.37
920		459		1.37
776		734		1.37
450		155		1.37
224		521		1.37
147		465		1.37
611		356		1.37
180		998		1.37
299		364		1.38
271		246		1.38
986		914		1.38
792		554		1.38
130		708		1.38
865		818		1.38
922		600		1.38
426		120		1.38
469		605		1.38
500		141		1.38
263		883		1.39
563		460		1.39
340		938		1.39
495		158		1.39
486		578		1.39
819		499		1.39
737		635		1.39
853		799		1.39
135		639		1.39
878		751		1.39
424		523		1.39
133		370		1.39
520		848		1.39
372		770		1.40
695		290		1.40
963		215		1.40
849		8		1.40
912		877		1.40
86		905		1.40
66		329		1.40
213		112		1.40
965		208		1.40
577		156		1.40
903		635		1.40
314		37		1.40
801		1000		1.40
344		879		1.41
342		927		1.41
661		787		1.41
441		690		1.41
484		166		1.41
210		43		1.41
234		54		1.41
163		69		1.41
341		370		1.41
293		133		1.41
763		516		1.42
784		778		1.42
504		52		1.42
715		605		1.42
972		628		1.42
336		822		1.42
736		588		1.42
935		186		1.42
882		389		1.42
713		786		1.42
749		436		1.42
950		944		1.42
604		371		1.42
34		746		1.42
438		862		1.42
981		397		1.42
39		870		1.42
5		770		1.43
553		826		1.43
55		876		1.43
867		897		1.43
545		217		1.43
418		589		1.43
620		167		1.43
49		362		1.43
868		909		1.43
512		137		1.43
405		445		1.43
354		825		1.43
487		52		1.44
859		149		1.44
566		682		1.44
591		69		1.44
534		639		1.44
199		706		1.44
129		521		1.44
100		250		1.45
936		479		1.45
451		898		1.45
151		337		1.45
288		520		1.45
430		236		1.45
395		986		1.46
782		977		1.46
548		817		1.46
457		309		1.46
239		760		1.46
242		469		1.46
442		48		1.46
698		961		1.46
827		81		1.47
569		114		1.47
46		63		1.47
999		274		1.47
616		344		1.47
889		134		1.47
907		690		1.47
216		962		1.47
923		86		1.47
109		48		1.47
677		939		1.47
317		489		1.47
258		909		1.47
381		105		1.47
812		42		1.47
68		268		1.48
549		113		1.48
368		714		1.48
164		175		1.48
856		54		1.48
33		449		1.48
85		580		1.48
507		276		1.49
273		817		1.49
159		130		1.49
483		409		1.49
319		74		1.49
928		909		1.49
146		980		1.49
919		947		1.49
410		590		1.49
502		981		1.49
118		208		1.49
992		769		1.50
958		995		1.50
783		660		1.50
93		991		1.50
768		922		1.50
488		586		1.50
375		75		1.50
408		909		1.50
699		6		1.50
3		265		1.50
946		237		1.51
960		563		1.51
323		907		1.51
264		921		1.51
722		846		1.51
573		855		1.51
833		440		1.51
413		568		1.52
533		870		1.52
318		488		1.52
547		73		1.52
411		592		1.52
313		648		1.52
65		916		1.52
197		239		1.52
343		931		1.52
