Max flow: 291
Edges
From		To		Capacity/Flow
1		256		9.00/9.00
1		9141		7.00/7.00
1		6457		7.00/7.00
1		2085		4.00/4.00
1		762		4.00/4.00
1		9703		4.00/4.00
1		5007		2.00/2.00
1		1225		4.00/4.00
1		3354		6.00/6.00
1		5457		8.00/8.00
1		4066		5.00/5.00
1		3193		8.00/8.00
1		8226		6.00/6.00
1		2468		3.00/3.00
1		3394		8.00/8.00
1		8035		8.00/8.00
1		2773		8.00/8.00
1		7933		5.00/5.00
1		5725		7.00/7.00
1		6120		7.00/7.00
1		6681		4.00/4.00
1		2374		1.00/1.00
1		2335		7.00/7.00
1		161		5.00/5.00
1		6696		6.00/6.00
1		9980		7.00/7.00
1		2150		4.00/4.00
1		2903		9.00/9.00
1		8697		10.00/10.00
1		4059		1.00/1.00
1		7039		4.00/4.00
1		141		4.00/4.00
1		506		5.00/5.00
1		4422		6.00/6.00
1		9570		10.00/10.00
1		8319		9.00/9.00
1		7260		7.00/7.00
1		7338		8.00/8.00
1		9819		3.00/3.00
1		4845		1.00/1.00
1		9952		9.00/9.00
1		4354		10.00/10.00
1		9655		4.00/4.00
1		9403		1.00/1.00
1		8366		3.00/3.00
1		1603		3.00/3.00
1		2769		8.00/8.00
1		6283		1.00/1.00
1		694		4.00/4.00
1		4581		8.00/8.00
1		7706		1.00/1.00
1		2609		4.00/4.00
1		6218		4.00/4.00
3		4396		4.00/0.00
3		2114		10.00/0.00
3		3666		4.00/0.00
3		118		5.00/0.00
3		4162		9.00/0.00
4		694		3.00/0.00
4		8028		4.00/0.00
4		807		7.00/0.00
4		5465		3.00/0.00
4		1903		2.00/0.00
5		3382		10.00/0.00
5		5967		10.00/0.00
5		6136		10.00/0.00
5		6299		7.00/0.00
6		5512		5.00/0.00
6		9679		7.00/0.00
6		4515		5.00/0.00
6		4589		5.00/0.00
6		7251		7.00/0.00
6		4492		10.00/0.00
7		6042		8.00/0.00
7		8884		4.00/0.00
7		6838		10.00/0.00
8		4009		6.00/0.00
8		1095		10.00/0.00
8		9852		1.00/0.00
8		1572		4.00/0.00
8		3766		4.00/0.00
8		3120		5.00/0.00
8		7649		1.00/0.00
9		8999		8.00/0.00
9		9708		9.00/0.00
9		422		10.00/0.00
9		4909		8.00/0.00
10		1242		6.00/0.00
10		1800		9.00/0.00
10		2058		8.00/0.00
10		9899		3.00/0.00
10		1486		7.00/0.00
11		8857		8.00/0.00
11		5586		2.00/0.00
11		5173		1.00/0.00
12		9954		9.00/0.00
12		6412		8.00/0.00
12		6824		5.00/0.00
12		9607		9.00/0.00
12		4474		5.00/0.00
12		4283		10.00/0.00
12		3649		4.00/0.00
12		6310		4.00/0.00
12		8853		7.00/0.00
13		7803		3.00/0.00
13		3227		6.00/0.00
13		9954		8.00/0.00
13		9928		6.00/0.00
13		1498		5.00/0.00
13		5223		1.00/0.00
14		8693		5.00/0.00
14		2535		8.00/0.00
14		7665		6.00/0.00
14		4482		5.00/5.00
14		2581		4.00/0.00
15		8179		5.00/0.00
15		6172		7.00/0.00
15		3136		1.00/0.00
15		303		9.00/0.00
15		9847		10.00/0.00
15		3111		4.00/0.00
15		1042		7.00/0.00
15		9699		2.00/0.00
15		367		9.00/0.00
16		9291		2.00/0.00
16		666		1.00/0.00
16		1346		4.00/0.00
16		7624		6.00/0.00
17		7895		7.00/0.00
17		8249		6.00/0.00
17		9939		9.00/0.00
17		3992		6.00/0.00
17		7300		7.00/0.00
17		9117		9.00/0.00
17		4323		7.00/0.00
18		7494		3.00/0.00
18		5952		6.00/0.00
18		2076		9.00/0.00
18		1080		8.00/0.00
18		9754		9.00/0.00
18		2741		5.00/0.00
18		293		10.00/0.00
19		3901		3.00/0.00
19		7964		6.00/0.00
19		1458		1.00/0.00
19		7762		6.00/0.00
19		6050		7.00/0.00
19		663		10.00/0.00
20		4456		9.00/0.00
20		9280		8.00/0.00
20		3062		4.00/0.00
20		244		2.00/0.00
21		4877		1.00/0.00
21		4038		1.00/0.00
21		9885		7.00/0.00
21		5815		9.00/0.00
21		4513		10.00/0.00
21		5395		8.00/0.00
21		5530		6.00/0.00
21		5280		4.00/0.00
21		9634		2.00/0.00
21		6939		3.00/0.00
21		1584		8.00/0.00
22		302		3.00/0.00
22		2355		6.00/0.00
22		9010		10.00/0.00
22		2103		3.00/0.00
22		9167		2.00/0.00
22		5605		8.00/0.00
22		8025		4.00/0.00
22		7148		4.00/0.00
22		6957		2.00/0.00
23		3990		7.00/0.00
23		5681		10.00/0.00
23		4		6.00/0.00
23		6744		1.00/0.00
23		7422		8.00/0.00
23		7924		4.00/0.00
24		3662		1.00/0.00
24		9470		4.00/0.00
24		4437		1.00/0.00
24		1154		8.00/0.00
24		1255		6.00/0.00
24		9742		4.00/0.00
25		7662		3.00/0.00
25		9224		5.00/0.00
25		6032		7.00/0.00
25		7117		9.00/0.00
25		4726		8.00/0.00
26		3521		8.00/0.00
26		5460		6.00/0.00
26		3604		2.00/0.00
26		4060		7.00/0.00
27		5420		3.00/0.00
27		7604		9.00/0.00
27		7541		6.00/0.00
27		4755		9.00/0.00
27		8972		5.00/0.00
27		4190		4.00/0.00
28		7243		3.00/0.00
28		2762		9.00/0.00
28		8295		4.00/0.00
28		2027		9.00/0.00
28		1942		7.00/0.00
28		4338		4.00/0.00
28		6110		3.00/0.00
29		4538		8.00/0.00
29		6249		7.00/0.00
29		9788		5.00/0.00
29		3197		6.00/0.00
30		2741		10.00/0.00
30		4442		9.00/0.00
30		1152		10.00/4.00
30		6511		9.00/0.00
30		4199		6.00/0.00
30		7995		2.00/0.00
30		3714		10.00/0.00
31		224		3.00/0.00
31		7246		3.00/0.00
32		4385		9.00/0.00
32		1464		8.00/0.00
32		4072		10.00/0.00
32		1294		3.00/0.00
32		4770		5.00/0.00
32		531		3.00/0.00
