(total cost: 22218.71)
id		father		cost
1		0		0.00
99967		1		0.04
66909		99967		0.08
63378		66909		0.03
15535		99967		0.16
31810		15535		0.06
20329		31810		0.03
33134		15535		0.08
95140		15535		0.10
34741		95140		0.06
55513		20329		0.14
68451		63378		0.16
73823		55513		0.17
17292		66909		0.22
56463		17292		0.06
27134		56463		0.18
38366		63378		0.22
15929		38366		0.19
92038		15929		0.09
35479		73823		0.23
412		35479		0.23
23600		412		0.10
33361		412		0.20
90223		33361		0.10
29255		90223		0.04
21975		29255		0.08
9271		21975		0.10
51963		9271		0.09
15706		90223		0.13
34691		15706		0.05
94139		34691		0.00
30431		94139		0.08
65227		34691		0.10
94550		51963		0.13
65412		51963		0.14
76157		65227		0.14
68822		76157		0.15
47469		68822		0.13
59070		94139		0.17
28367		65227		0.17
9234		33361		0.17
12951		30431		0.18
57166		12951		0.16
95091		90223		0.20
42885		57166		0.20
17568		42885		0.14
73634		42885		0.19
20432		73634		0.10
60209		20432		0.04
4118		20432		0.07
41301		60209		0.07
8481		20432		0.09
50841		8481		0.05
42635		50841		0.08
88826		50841		0.11
79084		88826		0.01
33259		88826		0.05
50485		79084		0.07
79309		88826		0.11
9747		73634		0.14
28316		50841		0.16
38016		17568		0.20
11568		38016		0.12
32882		11568		0.08
73397		32882		0.05
99900		73397		0.06
52674		99900		0.03
24865		99900		0.03
39767		24865		0.01
96628		73397		0.14
3328		96628		0.03
78287		96628		0.07
71085		73397		0.16
99530		73397		0.19
91076		99530		0.02
66789		91076		0.03
12991		66789		0.12
89040		66789		0.16
32041		89040		0.06
15239		89040		0.17
90660		76157		0.20
86527		90660		0.00
43189		86527		0.07
27709		43189		0.07
86371		90660		0.16
11546		86527		0.19
73136		11546		0.08
67985		11546		0.14
67524		67985		0.03
9141		67524		0.02
62219		9141		0.02
56079		62219		0.03
95605		56079		0.06
8014		56079		0.10
32130		8014		0.10
48550		32130		0.09
64426		48550		0.02
23037		67985		0.12
23448		67524		0.12
19032		23448		0.05
71554		23448		0.11
27927		67985		0.13
75644		23448		0.13
56294		32130		0.14
10979		56294		0.10
31518		9141		0.14
5463		31518		0.00
89046		31518		0.03
95888		89046		0.03
84377		5463		0.06
67304		5463		0.06
28204		67304		0.02
67254		31518		0.08
43166		84377		0.09
12221		43166		0.03
30588		12221		0.03
27770		31518		0.10
84152		5463		0.11
73100		84152		0.10
90952		67304		0.12
3349		10979		0.14
32174		3349		0.07
95156		3349		0.08
61609		3349		0.09
18576		61609		0.01
51457		95156		0.10
41284		31518		0.14
50201		41284		0.01
89415		50201		0.05
75659		50201		0.07
65108		75659		0.06
94151		41284		0.09
63055		94151		0.05
48689		94151		0.12
97317		48689		0.05
928		97317		0.07
48692		50201		0.13
38845		48692		0.09
45303		38845		0.02
91937		45303		0.10
16081		48692		0.11
90808		67304		0.14
19029		67304		0.14
83893		19029		0.01
42152		83893		0.04
85733		83893		0.04
69694		83893		0.08
96345		69694		0.13
52692		73136		0.14
64032		52692		0.09
85881		52692		0.13
87699		85881		0.01
99400		85881		0.03
1440		99400		0.02
86893		1440		0.01
43382		99400		0.02
33280		87699		0.06
68943		33280		0.07
55014		89046		0.14
93066		55014		0.12
61233		69694		0.15
7936		61233		0.13
52517		48689		0.15
90989		52517		0.01
55454		43166		0.16
21170		55454		0.04
23756		21170		0.11
50047		23756		0.12
71284		23756		0.14
6512		21170		0.15
36385		6512		0.05
71663		85881		0.16
83054		90989		0.16
64298		95605		0.17
47014		64298		0.03
29592		84152		0.17
63277		50201		0.17
90679		63277		0.03
41708		90679		0.07
35321		63277		0.16
50266		23756		0.17
10028		50266		0.05
68726		50266		0.09
17546		5463		0.18
61850		38845		0.18
81820		61850		0.02
73995		81820		0.05
1699		81820		0.09
73448		81820		0.13
2703		73448		0.05
22675		2703		0.15
15150		48550		0.19
81758		64298		0.19
56073		81758		0.14
89492		56073		0.01
76469		56073		0.06
3667		89046		0.19
961		76469		0.19
19869		961		0.10
38541		63055		0.19
62548		38541		0.04
45948		38541		0.10
28285		38541		0.16
23985		28285		0.06
89130		23985		0.15
93943		16081		0.19
29232		93943		0.08
93528		29232		0.02
97571		91937		0.19
67751		97571		0.15
18475		67751		0.00
87087		52692		0.19
98167		87087		0.18
30944		55014		0.19
54421		32130		0.20
58099		54421		0.05
52773		58099		0.02
77189		52773		0.02
50787		77189		0.08
10349		54421		0.11
59469		77189		0.14
77551		59469		0.13
65299		77189		0.16
7756		65299		0.03
78811		65299		0.11
37477		65299		0.16
35961		77189		0.19
31344		35961		0.16
16774		62219		0.20
61056		16774		0.10
95179		61056		0.02
76264		16774		0.17
23834		76264		0.03
68308		23834		0.12
30706		68308		0.07
50207		30706		0.02
88339		30706		0.06
98482		30706		0.08
81414		88339		0.09
6410		88339		0.09
92762		23834		0.15
74801		88339		0.16
50300		50207		0.16
89558		68308		0.17
40540		89558		0.12
